Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
MRPL24	MRP-L18	ENSG00000143314	Mitochondrial ribosomal protein L24	1	156737303-156741590	Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA030295, HPA054323	Approved				Renal cancer:3.99e-5 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 117.5	Expressed in all		
MRPL27		ENSG00000108826	Mitochondrial ribosomal protein L27	17	50367857-50373214	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA021416	Approved					Expressed in all	Expressed in all			epididymis: 131.5	Expressed in all		
MRPL28	MAAT1, p15	ENSG00000086504	Mitochondrial ribosomal protein L28	16	367384-370527	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA030594, CAB033542, HPA055589	Enhanced		Supported	Mitochondria		Expressed in all	Expressed in all			cerebral cortex: 71.5	Expressed in all		
MRPL3	MRL3, RPML3	ENSG00000114686	Mitochondrial ribosomal protein L3	3	131462212-131502983	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043665, HPA060132	Approved				Liver cancer:4.33e-7 (unfavourable), Pancreatic cancer:3.51e-6 (unfavourable), Ovarian cancer:1.36e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 107.7	Expressed in all		
MRPL30	MRP-L28, RPML28	ENSG00000185414	Mitochondrial ribosomal protein L30	2	99181079-99197626	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047255	Approved					Expressed in all	Expressed in all			thyroid gland: 20.3	Expressed in all		
MRPL32	bMRP-59b, HSPC283, L32mt, MRP-L32	ENSG00000106591	Mitochondrial ribosomal protein L32	7	42932200-42948958	Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA048965	Uncertain					Expressed in all	Expressed in all			adrenal gland: 72.1	Expressed in all		
MRPL33	C2orf1, RPL33L	ENSG00000243147	Mitochondrial ribosomal protein L33	2	27771717-27988087	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA066872	Approved				Liver cancer:1.66e-4 (unfavourable), Head and neck cancer:4.68e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 586.9	Expressed in all		
MRPL34	L34mt, MGC24974, MGC2633	ENSG00000130312	Mitochondrial ribosomal protein L34	19	17292609-17306843	Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA049276	Uncertain		Approved	Nucleoplasm<br>Nuclear bodies<br>Vesicles	Renal cancer:4.29e-6 (favourable), Pancreatic cancer:4.87e-4 (favourable)	Expressed in all	Expressed in all			kidney: 76.6	Expressed in all		
MRPL35		ENSG00000132313	Mitochondrial ribosomal protein L35	2	86199355-86213794	Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA043482	Uncertain				Renal cancer:9.96e-6 (favourable), Liver cancer:3.51e-4 (unfavourable)	Expressed in all	Expressed in all			rectum: 64.6	Expressed in all		
MRPL36	BRIP1, L36mt, MRP-L36, PRPL36, RPMJ	ENSG00000171421	Mitochondrial ribosomal protein L36	5	1798386-1801366	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047238	Approved		Supported	Nuclear bodies<br>Mitochondria	Renal cancer:2.21e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 95.6	Expressed in all		
MRPL37	MRP-L2, RPML2	ENSG00000116221	Mitochondrial ribosomal protein L37	1	54184041-54225464	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA025767, HPA025826, HPA025951	Enhanced		Supported	Mitochondria	Liver cancer:6.45e-5 (unfavourable), Colorectal cancer:6.99e-4 (favourable), Stomach cancer:9.25e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 61.8	Expressed in all		
MRPL38	HSPC262, MGC4810, MRP-L3, RPML3	ENSG00000204316	Mitochondrial ribosomal protein L38	17	75898643-75905413	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA023054, HPA023135	Approved		Supported	Mitochondria	Urothelial cancer:9.21e-5 (favourable), Pancreatic cancer:4.23e-4 (favourable), Renal cancer:5.58e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 30.7	Expressed in all		
MRPL39	C21orf92, FLJ20451, L39mt, MGC104174, MGC3400, MRP-L5, MSTP003, PRED22, PRED66, RPML5	ENSG00000154719	Mitochondrial ribosomal protein L39	21	25585656-25607517	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA018331	Approved				Pancreatic cancer:5.84e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 94.7	Expressed in all		
MRPL4	CGI-28	ENSG00000105364	Mitochondrial ribosomal protein L4	19	10251901-10260045	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA051261	Approved		Supported	Nucleus<br>Nucleoli<br>Nucleoli fibrillar center<br>Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			cerebral cortex: 38.9	Expressed in all		
MRPL40	MRP-L22, NLVCF	ENSG00000185608	Mitochondrial ribosomal protein L40	22	19431902-19436075	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA006181	Uncertain		Enhanced	Nucleoli<br>Mitochondria	Cervical cancer:7.57e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 34.8	Expressed in all		
MRPL41	BMRP, MRP-L27, MRPL27, PIG3, RPML27	ENSG00000182154	Mitochondrial ribosomal protein L41	9	137551199-137552555	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA024550, HPA027160	Supported		Supported	Mitochondria		Expressed in all	Expressed in all			skeletal muscle: 59.8	Expressed in all		
MRPL42	HSPC204, MRP-L31, MRPL31, MRPS32, PTD007, RPML31	ENSG00000198015	Mitochondrial ribosomal protein L42	12	93467488-93516213	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA039398	Approved		Supported	Plasma membrane<br>Mitochondria	Liver cancer:7.49e-4 (unfavourable), Urothelial cancer:8.12e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 57.2	Expressed in all		
MRPL43	bMRP36a	ENSG00000055950	Mitochondrial ribosomal protein L43	10	100969458-100987515	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA073022			Approved	Nucleoplasm<br>Mitochondria		Expressed in all	Expressed in all			thyroid gland: 57.8	Expressed in all		
MRPL44	FLJ12701, FLJ13990	ENSG00000135900	Mitochondrial ribosomal protein L44	2	223957404-223967714	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA038147, HPA038148	Approved		Approved	Nucleus<br>Plasma membrane<br>Mitochondria	Liver cancer:1.29e-4 (unfavourable), Renal cancer:2.02e-4 (favourable)	Expressed in all	Expressed in all			kidney: 37.5	Expressed in all		
MRPL46	C15orf4, LIECG2, P2ECSL	ENSG00000259494	Mitochondrial ribosomal protein L46	15	88459476-88467419	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA050166	Uncertain		Supported	Nucleoplasm<br>Cell Junctions<br>Mitochondria	Renal cancer:2.09e-6 (favourable)	Expressed in all	Expressed in all			adrenal gland: 50.3	Expressed in all		
MRPL47	CGI-204, NCM1	ENSG00000136522	Mitochondrial ribosomal protein L47	3	179588285-179604654	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA037553, HPA047779	Approved		Enhanced	Mitochondria	Endometrial cancer:3.15e-4 (unfavourable), Cervical cancer:6.44e-4 (favourable)	Expressed in all	Expressed in all			testis: 85.1	Expressed in all		
MRPL48	CGI-118	ENSG00000175581	Mitochondrial ribosomal protein L48	11	73787316-73865133	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA040241, HPA040864	Approved				Liver cancer:3.30e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 24.1	Expressed in all		
MRPL49	C11orf4, L49mt, NOF, NOF1	ENSG00000149792	Mitochondrial ribosomal protein L49	11	65122183-65127371	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA046778	Approved				Renal cancer:4.22e-15 (favourable), Breast cancer:3.79e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 83.4	Expressed in all		
MRPL50	FLJ20493, MRP-L50	ENSG00000136897	Mitochondrial ribosomal protein L50	9	101387633-101398614	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA022925, HPA056854	Approved		Supported	Vesicles<br>Cytosol	Renal cancer:1.21e-10 (favourable)	Expressed in all	Expressed in all			adrenal gland: 20.8	Expressed in all		
MRPL51	bMRP64, CDA09, HSPC241, MRP64	ENSG00000111639	Mitochondrial ribosomal protein L51	12	6491886-6493841	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA039923	Approved		Supported	Mitochondria		Expressed in all	Expressed in all			testis: 234.8	Expressed in all		
MRPL52		ENSG00000172590	Mitochondrial ribosomal protein L52	14	22829879-22835037	Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA012319	Approved		Approved	Mitochondria		Expressed in all	Expressed in all			appendix: 72.1	Expressed in all		
MRPL53		ENSG00000204822	Mitochondrial ribosomal protein L53	2	74471958-74473322	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA056185	Uncertain		Approved	Nucleoli	Renal cancer:1.16e-8 (unfavourable), Liver cancer:7.36e-5 (unfavourable), Pancreatic cancer:1.37e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 24.6	Expressed in all		
MRPL55		ENSG00000162910	Mitochondrial ribosomal protein L55	1	228106679-228109312	Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA027641	Supported		Approved	Golgi apparatus<br>Vesicles	Renal cancer:1.62e-6 (unfavourable), Ovarian cancer:6.76e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 40.9	Expressed in all		
MRPL57	MRP63	ENSG00000173141	Mitochondrial ribosomal protein L57	13	21176645-21179084	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA039779, HPA059370	Enhanced		Supported	Mitochondria	Pancreatic cancer:8.35e-4 (favourable)	Expressed in all	Expressed in all			adrenal gland: 21.8	Expressed in all		
MRPL58	DS-1, ICT1	ENSG00000167862	Mitochondrial ribosomal protein L58	17	75012670-75021261	Enzymes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA003634	Approved		Supported	Nucleoplasm<br>Mitochondria	Renal cancer:2.09e-4 (unfavourable)	Expressed in all	Expressed in all			kidney: 36.1	Expressed in all		
MRPL9		ENSG00000143436	Mitochondrial ribosomal protein L9	1	151759643-151763564	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA008579	Approved		Supported	Mitochondria	Liver cancer:1.04e-7 (unfavourable), Renal cancer:1.44e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 60.5	Expressed in all		
MRPS10	FLJ10567	ENSG00000048544	Mitochondrial ribosomal protein S10	6	42206801-42217865	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA029133, HPA029134	Enhanced		Approved	Actin filaments<br>Mitochondria		Expressed in all	Expressed in all			esophagus: 41.8	Expressed in all		
MRPS11	FLJ22512, FLJ23406, HCC-2	ENSG00000181991	Mitochondrial ribosomal protein S11	15	88467453-88480773	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043752, HPA050345	Enhanced		Supported	Mitochondria	Cervical cancer:3.60e-4 (favourable), Ovarian cancer:4.75e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 13.6	Expressed in all		
MRPS12	RPMS12, RPS12, RPSM12	ENSG00000128626	Mitochondrial ribosomal protein S12	19	38930548-38933162	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA046775, HPA050633	Uncertain					Expressed in all	Expressed in all			duodenum: 12.0	Expressed in all		
MRPS14	HSMRPS14	ENSG00000120333	Mitochondrial ribosomal protein S14	1	175010789-175023425	Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA051087	Uncertain		Supported	Nuclear membrane<br>Mitochondria		Expressed in all	Expressed in all			thyroid gland: 39.0	Expressed in all		
MRPS15	FLJ11564	ENSG00000116898	Mitochondrial ribosomal protein S15	1	36455718-36464437	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA028100, HPA028134, HPA067137	Enhanced		Supported	Mitochondria	Renal cancer:3.55e-4 (unfavourable), Liver cancer:3.59e-4 (unfavourable), Ovarian cancer:7.83e-4 (favourable)	Expressed in all	Expressed in all			testis: 242.5	Expressed in all		
MRPS16	CGI-132	ENSG00000182180	Mitochondrial ribosomal protein S16	10	73248843-73252693	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA050081, HPA054538	Supported		Supported	Mitochondria<br>Cytosol	Liver cancer:4.57e-5 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 30.4	Expressed in all		
MRPS17	HSPC011, MRP-S17, RPMS17	ENSG00000239789	Mitochondrial ribosomal protein S17	7	55951819-55956501	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047159	Approved					Expressed in all	Expressed in all			fallopian tube: 16.0	Expressed in all		
MRPS18A	FLJ10548, MRPS18-3	ENSG00000096080	Mitochondrial ribosomal protein S18A	6	43671303-43687791	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA035450, HPA035451	Approved				Thyroid cancer:4.03e-5 (favourable)	Expressed in all	Expressed in all			prostate: 58.1	Expressed in all		
MRPS18B	C6orf14, HSPC183, MRPS18-2, PTD017	ENSG00000204568	Mitochondrial ribosomal protein S18B	6	30617709-30626395	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043485, HPA050334	Supported		Supported	Cell Junctions<br>Mitochondria	Renal cancer:3.99e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 13.3	Expressed in all		
MRPS18C	CGI-134, FLJ11146, FLJ22967, MRPS18-1	ENSG00000163319	Mitochondrial ribosomal protein S18C	4	83455932-83469735	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA050404	Approved				Renal cancer:2.90e-5 (favourable)	Expressed in all	Expressed in all			fallopian tube: 39.7	Expressed in all		
MRPS2	CGI-91	ENSG00000122140	Mitochondrial ribosomal protein S2	9	135499984-135504673	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA029487, HPA057261	Approved		Supported	Mitochondria	Renal cancer:6.96e-9 (favourable)	Expressed in all	Expressed in all			fallopian tube: 55.1	Expressed in all		
MRPS22	C3orf5, GIBT, GK002, MRP-S22	ENSG00000175110	Mitochondrial ribosomal protein S22	3	139005806-139357223	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA006083, HPA007830	Enhanced		Supported	Mitochondria	Endometrial cancer:1.35e-5 (unfavourable), Pancreatic cancer:1.55e-5 (unfavourable), Prostate cancer:1.85e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 69.5	Expressed in all		
MRPS23	CGI-138, HSPC329, MRP-S23	ENSG00000181610	Mitochondrial ribosomal protein S23	17	57834781-57850056	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA023453	Supported		Supported	Nuclear membrane<br>Mitochondria	Liver cancer:9.52e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 61.5	Expressed in all		
MRPS24	HSPC335, MRP-S24	ENSG00000062582	Mitochondrial ribosomal protein S24	7	43866558-43869893	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA020983			Approved	Nucleoplasm<br>Vesicles	Lung cancer:1.91e-4 (unfavourable), Renal cancer:9.89e-4 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 147.5	Expressed in all		
MRPS25	DKFZp313H0817, FLJ00023, MRP-S25, RPMS25	ENSG00000131368	Mitochondrial ribosomal protein S25	3	15042460-15065335	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043490	Approved		Enhanced	Mitochondria	Renal cancer:3.60e-7 (favourable)	Expressed in all	Expressed in all			testis: 32.9	Expressed in all		
MRPS26	C20orf193, dJ534B8.3, MRP-S13, MRP-S26, RPMS13	ENSG00000125901	Mitochondrial ribosomal protein S26	20	3045945-3048254	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA045472, HPA054610	Supported		Enhanced	Mitochondria		Expressed in all	Expressed in all			prostate: 50.0	Expressed in all		
MRPS27	KIAA0264	ENSG00000113048	Mitochondrial ribosomal protein S27	5	72219409-72320646	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA071751	Approved					Expressed in all	Expressed in all			thyroid gland: 59.5	Expressed in all		
MRPS28	HSPC007, MRP-S28, MRPS35	ENSG00000147586	Mitochondrial ribosomal protein S28	8	79918717-80030289	Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA027202	Approved		Enhanced	Mitochondria	Renal cancer:1.20e-6 (favourable)	Expressed in all	Expressed in all			adrenal gland: 114.1	Expressed in all		
MRPS30	PAP, PDCD9	ENSG00000112996	Mitochondrial ribosomal protein S30	5	44808925-44820428	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA018686, HPA021149	Enhanced		Approved	Nucleoplasm<br>Cytosol	Renal cancer:2.87e-9 (favourable), Liver cancer:5.91e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 19.5	Expressed in all		
MRPS31	IMOGN38	ENSG00000102738	Mitochondrial ribosomal protein S31	13	40729135-40771173	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA039083, HPA046344	Uncertain		Supported	Nucleoli<br>Mitochondria		Expressed in all	Expressed in all			testis,thyroid gland: 33.6	Expressed in all		
MRPS33	CGI-139	ENSG00000090263	Mitochondrial ribosomal protein S33	7	141002610-141015228	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA030425	Uncertain					Expressed in all	Expressed in all			epididymis: 96.2	Expressed in all		
MRPS34	MGC2616, MRP-S12	ENSG00000074071	Mitochondrial ribosomal protein S34	16	1771890-1773155	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA042112	Supported		Supported	Mitochondria		Expressed in all	Expressed in all			skeletal muscle: 22.2	Expressed in all		
MRPS35	MDS023, MRPS28	ENSG00000061794	Mitochondrial ribosomal protein S35	12	27710773-27756295	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA038513	Enhanced		Approved	Mitochondria<br>Cytosol	Renal cancer:1.51e-5 (favourable), Liver cancer:1.64e-4 (unfavourable), Colorectal cancer:5.01e-4 (favourable), Breast cancer:9.41e-4 (unfavourable)	Expressed in all	Expressed in all			kidney: 78.7	Expressed in all		
MRPS5	MRP-S5, S5mt	ENSG00000144029	Mitochondrial ribosomal protein S5	2	95087207-95149434	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA055765	Approved		Supported	Mitochondria	Endometrial cancer:7.98e-7 (unfavourable), Liver cancer:7.73e-5 (unfavourable), Thyroid cancer:6.36e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 37.9	Expressed in all		
