Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
IDH3A		ENSG00000166411	Isocitrate dehydrogenase 3 (NAD(+)) alpha	15	78131498-78171949	Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA041465, HPA062971	Supported		Enhanced	Mitochondria	Renal cancer:6.49e-8 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 44.1	Expressed in all		
IDH3B	RP46	ENSG00000101365	Isocitrate dehydrogenase 3 (NAD(+)) beta	20	2658395-2664219	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA049387, HPA054180	Enhanced		Enhanced	Mitochondria	Renal cancer:6.78e-8 (favourable), Liver cancer:1.59e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 100.5	Expressed in all		
IDH3G		ENSG00000067829	Isocitrate dehydrogenase 3 (NAD(+)) gamma	X	153785766-153794523	Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA000425, HPA002017	Enhanced		Enhanced	Mitochondria	Renal cancer:5.73e-6 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 64.9	Expressed in all		
MDH1		ENSG00000014641	Malate dehydrogenase 1	2	63588609-63607197	Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA027296, CAB047333, HPA054276	Uncertain		Supported	Centrosome<br>Cytosol	Endometrial cancer:7.13e-4 (unfavourable), Renal cancer:9.95e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 715.9	Expressed in all		
MDH2		ENSG00000146701	Malate dehydrogenase 2	7	76048051-76067508	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA019714, HPA019716, HPA019848, HPA026720	Enhanced		Enhanced	Mitochondria	Renal cancer:1.49e-5 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 233.2	Expressed in all		
OGDH	E1k	ENSG00000105953	Oxoglutarate dehydrogenase	7	44606572-44709066	Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA019514, HPA020347	Supported		Enhanced	Mitochondria	Renal cancer:2.22e-14 (favourable)	Expressed in all	Expressed in all			heart muscle: 147.8	Expressed in all		
OGDHL	FLJ10851	ENSG00000197444	Oxoglutarate dehydrogenase-like	10	49734643-49762379	Citric acid cycle related proteins, Predicted intracellular proteins	Evidence at protein level	HPA052497	Enhanced		Approved	Nucleus<br>Nucleoli fibrillar center<br>Cytosol	Renal cancer:1.21e-14 (favourable)	Tissue enhanced	Tissue enhanced		kidney: 128.4;parathyroid gland: 56.3	liver: 41.6	Cell line enhanced		AN3-CA: 19.8;RPTEC TERT1: 32.9;SH-SY5Y: 17.3
PC	PCB	ENSG00000173599	Pyruvate carboxylase	11	66848233-66958376	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB033742, HPA043922, HPA058765	Uncertain		Enhanced	Mitochondria	Ovarian cancer:7.86e-5 (unfavourable), Renal cancer:8.22e-5 (favourable)	Expressed in all	Expressed in all			adipose tissue: 63.8	Mixed		
PCK1	PEPCK-C	ENSG00000124253	Phosphoenolpyruvate carboxykinase 1	20	57561080-57568112	Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA006277, HPA006507, CAB017027	Approved				Renal cancer:1.47e-5 (favourable)	Tissue enriched	Tissue enhanced		kidney: 425.9;liver: 319.7	small intestine: 157.6	Cell line enriched	9	ASC diff: 14.0
PCK2	PEPCK, PEPCK2	ENSG00000100889	Phosphoenolpyruvate carboxykinase 2, mitochondrial	14	24094053-24110598	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB018734, HPA051162, HPA053502	Enhanced		Enhanced	Mitochondria	Liver cancer:2.81e-4 (favourable)	Expressed in all	Group enriched	6	duodenum: 367.6;kidney: 192.2;liver: 258.6;small intestine: 276.5	colon: 47.0	Expressed in all		
PDHA1	PDHA	ENSG00000131828	Pyruvate dehydrogenase (lipoamide) alpha 1	X	19343893-19361705	Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA047487, HPA047864, HPA063053	Approved		Supported	Mitochondria	Renal cancer:1.13e-7 (favourable)	Expressed in all	Expressed in all			heart muscle: 222.0	Expressed in all		
PDHA2	PDHAL	ENSG00000163114	Pyruvate dehydrogenase (lipoamide) alpha 2	4	95840019-95841474	Citric acid cycle related proteins, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA047487, HPA047864, HPA063053	Approved		Supported	Mitochondria		Not detected	Tissue enriched	1010	testis: 101.0	all non-specific tissues: 0.0	Not detected		
PDHB		ENSG00000168291	Pyruvate dehydrogenase (lipoamide) beta	3	58427630-58433857	Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB033794, HPA036744, HPA036745	Enhanced		Supported	Nucleoplasm<br>Mitochondria	Renal cancer:2.79e-8 (favourable)	Expressed in all	Expressed in all			heart muscle: 112.0	Expressed in all		
SDHA	FP, SDH2, SDHF	ENSG00000073578	Succinate dehydrogenase complex flavoprotein subunit A	5	218241-256700	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB034929, HPA041981, HPA064582	Enhanced		Enhanced	Mitochondria	Renal cancer:9.53e-8 (favourable), Breast cancer:6.00e-4 (unfavourable)	Expressed in all	Expressed in all			heart muscle: 248.9	Expressed in all		
SDHB	SDH, SDH1	ENSG00000117118	Succinate dehydrogenase complex iron sulfur subunit B	1	17018722-17054170	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA002868, CAB009822, CAB068233, CAB068234, CAB068235	Enhanced		Supported	Nucleoplasm<br>Plasma membrane<br>Mitochondria	Renal cancer:2.93e-7 (favourable)	Expressed in all	Expressed in all			kidney: 215.2	Expressed in all		
SDHC	CYB560, cybL, PGL3	ENSG00000143252	Succinate dehydrogenase complex subunit C	1	161314257-161375340	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level						Renal cancer:2.20e-4 (favourable)	Expressed in all	Expressed in all			kidney: 188.8	Expressed in all		
SDHD	cybS, PGL, PGL1	ENSG00000204370	Succinate dehydrogenase complex subunit D	11	112086773-112120013	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA045727	Approved				Renal cancer:1.99e-10 (favourable)	Expressed in all	Expressed in all			kidney: 305.5	Expressed in all		
SUCLA2		ENSG00000136143	Succinate-CoA ligase ADP-forming beta subunit	13	47936491-48001354	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA039435, HPA039536, HPA061528	Enhanced	Supported	Enhanced	Mitochondria	Renal cancer:7.59e-14 (favourable), Urothelial cancer:1.22e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 78.7	Expressed in all		
SUCLG1		ENSG00000163541	Succinate-CoA ligase alpha subunit	2	84423523-84460045	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA036683, HPA036684	Enhanced		Supported	Plasma membrane<br>Mitochondria	Renal cancer:2.21e-8 (favourable), Endometrial cancer:5.23e-4 (unfavourable)	Expressed in all	Expressed in all			kidney: 471.2	Expressed in all		
SUCLG2		ENSG00000172340	Succinate-CoA ligase GDP-forming beta subunit	3	67360460-67654614	Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA046705, HPA051998	Enhanced		Supported	Plasma membrane<br>Mitochondria	Renal cancer:2.79e-10 (favourable), Colorectal cancer:1.08e-4 (favourable)	Expressed in all	Expressed in all			colon: 168.2	Expressed in all		
