Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ARGFX		ENSG00000186103	Arginine-fifty homeobox	3	121570704-121586634	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA043049	Uncertain					Tissue enriched	Not detected			testis: 0.6	Not detected		
ARID1A	B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1	ENSG00000117713	AT-rich interaction domain 1A	1	26693236-26782104	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005456, CAB016334	Supported		Enhanced	Nucleoplasm	Liver cancer:4.18e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 40.4	Expressed in all		
ARID1B	6A3-5, BAF250b, DAN15, ELD/OSA1, KIAA1235, p250R	ENSG00000049618	AT-rich interaction domain 1B	6	156777374-157210779	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA016511, HPA075291	Approved		Supported	Nucleoplasm	Breast cancer:1.04e-4 (unfavourable), Ovarian cancer:4.16e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 71.2	Expressed in all		
ARID2	BAF200, DKFZp686G052, FLJ30619, KIAA1557	ENSG00000189079	AT-rich interaction domain 2	12	45729665-45908040	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA063044			Supported	Nucleoplasm<br>Plasma membrane	Head and neck cancer:5.75e-4 (favourable)	Expressed in all	Expressed in all			testis: 47.3	Expressed in all		
ARID3A	BRIGHT, DRIL1	ENSG00000116017	AT-rich interaction domain 3A	19	925781-975934	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004793, HPA076330	Enhanced		Supported	Nucleoplasm<br>Vesicles<br>Cytosol	Pancreatic cancer:1.95e-5 (favourable), Renal cancer:3.22e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 33.4	testis: 9.7	Cell line enhanced		BEWO: 199.1;K-562: 85.1
ARID3B	BDP, DRIL2	ENSG00000179361	AT-rich interaction domain 3B	15	74541177-74598131	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA050320	Enhanced		Supported	Nucleoplasm		Expressed in all	Tissue enhanced		testis: 35.9	placenta: 22.3	Cell line enhanced		NTERA-2: 86.8
ARID3C		ENSG00000205143	AT-rich interaction domain 3C	9	34621379-34628107	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Group enriched	Tissue enriched	8	liver: 5.9	cerebral cortex: 0.7	Cell line enhanced		HDLM-2: 1.8;Karpas-707: 1.8;T-47d: 2.4
ARID4A	RBBP1, RBP-1, RBP1	ENSG00000032219	AT-rich interaction domain 4A	14	58298385-58373887	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA048899			Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol	Head and neck cancer:1.91e-4 (favourable), Lung cancer:7.82e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 24.0	Expressed in all		
ARID4B	BCAA, BRCAA1, RBP1L1, SAP180	ENSG00000054267	AT-rich interaction domain 4B	1	235131634-235328219	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA027333, HPA053692	Approved		Approved	Nucleoplasm<br>Vesicles	Renal cancer:2.23e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 32.0	Expressed in all		
ARID5A	MRF-1, RP11-363D14	ENSG00000196843	AT-rich interaction domain 5A	2	96536743-96552638	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA002860, HPA023879	Approved		Supported	Nucleus<br>Nucleoli	Renal cancer:4.24e-8 (unfavourable), Breast cancer:2.05e-6 (favourable)	Expressed in all	Expressed in all			appendix: 25.4	Group enriched	6	HDLM-2: 239.9;RPMI-8226: 78.9
ARID5B	FLJ21150, MRF2	ENSG00000150347	AT-rich interaction domain 5B	10	61901300-62096944	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA015037	Uncertain		Approved	Nucleoplasm<br>Endoplasmic reticulum<br>Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			smooth muscle: 62.1	Cell line enhanced		BJ hTERT+: 91.0
ARNT	bHLHe2, HIF-1beta	ENSG00000143437	Aryl hydrocarbon receptor nuclear translocator	1	150809705-150876768	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001759, CAB004318	Enhanced		Supported	Nucleus<br>Nuclear bodies		Expressed in all	Expressed in all			ovary: 46.7	Cell line enriched	7	U-698: 274.9
ARNT2	bHLHe1, KIAA0307	ENSG00000172379	Aryl hydrocarbon receptor nuclear translocator 2	15	80404350-80597937	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001056, CAB005081	Enhanced		Supported	Nucleus	Pancreatic cancer:1.46e-6 (favourable), Renal cancer:7.51e-4 (favourable)	Expressed in all	Tissue enriched	8	cerebral cortex: 153.7	testis: 18.8	Mixed		
ARNTL	bHLHe5, BMAL1, JAP3, MOP3, PASD3	ENSG00000133794	Aryl hydrocarbon receptor nuclear translocator like	11	13276652-13387266	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	CAB045962, HPA050938	Supported		Supported	Nucleoplasm<br>Vesicles		Expressed in all	Expressed in all			adrenal gland: 26.3	Mixed		
ARNTL2	bHLHe6, BMAL2, CLIF, MOP9, PASD9	ENSG00000029153	Aryl hydrocarbon receptor nuclear translocator like 2	12	27332854-27425289	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059074, HPA065355	Uncertain		Enhanced	Nucleus<br>Nucleoli	Pancreatic cancer:5.29e-6 (unfavourable), Renal cancer:1.56e-5 (unfavourable)	Mixed	Tissue enhanced		esophagus: 31.2	tonsil: 20.2	Cell line enhanced		U-2197: 148.2
ARX	CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS	ENSG00000004848	Aristaless related homeobox	X	25003694-25016420	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level						Endometrial cancer:3.54e-7 (unfavourable)	Mixed	Tissue enriched	7	ovary: 97.7	testis: 14.0	Cell line enhanced		HAP1: 2.0;PC-3: 3.6;U-266/70: 6.3
ASCL1	ASH1, bHLHa46, HASH1	ENSG00000139352	Achaete-scute family bHLH transcription factor 1	12	102957686-102960516	Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA029217	Enhanced					Group enriched	Group enriched	8	cerebral cortex: 16.2;liver: 6.4	adrenal gland: 1.4	Group enriched	23	SCLC-21H: 63.4;SH-SY5Y: 30.9
ASCL2	ASH2, bHLHa45, HASH2	ENSG00000183734	Achaete-scute family bHLH transcription factor 2	11	2268495-2270952	Predicted intracellular proteins, Transcription factors	Evidence at protein level						Pancreatic cancer:4.73e-4 (favourable), Cervical cancer:5.11e-4 (favourable)	Group enriched	Mixed			placenta: 6.4	Group enriched	6	BEWO: 19.9;NB-4: 4.0;SCLC-21H: 19.8
ASCL3	bHLHa42, HASH3, Sgn1	ENSG00000176009	Achaete-scute family bHLH transcription factor 3	11	8937579-8938211	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA027032	Uncertain					Not detected	Tissue enriched	15	salivary gland: 3.3	spleen,testis: 0.2	Not detected		
ASCL4	bHLHa44, HASH4	ENSG00000187855	Achaete-scute family bHLH transcription factor 4	12	107774385-107776644	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA036116	Uncertain					Tissue enhanced	Not detected			parathyroid gland: 0.7	Not detected		
ASCL5	bHLHa47	ENSG00000232237	Achaete-scute family bHLH transcription factor 5	1	201113953-201127184	Predicted intracellular proteins, Transcription factors	No evidence							Mixed	Not detected			endometrium: 0.6	Not detected		
ATF1	TREB36	ENSG00000123268	Activating transcription factor 1	12	50763710-50821122	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB016222, HPA055069, HPA055406	Enhanced		Enhanced	Nucleoplasm	Liver cancer:1.53e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 39.6	Expressed in all		
ATF2	CRE-BP1, CREB2, HB16, TREB7	ENSG00000115966	Activating transcription factor 2	2	175072250-175168382	Enzymes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB003769, HPA022134	Supported		Enhanced	Nucleoplasm	Liver cancer:7.08e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 54.0	Expressed in all		
ATF3		ENSG00000162772	Activating transcription factor 3	1	212565334-212620777	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001562	Approved		Enhanced	Nucleus<br>Nucleoli		Expressed in all	Expressed in all			smooth muscle: 450.5	Cell line enhanced		BEWO: 126.9
ATF4	CREB-2, TAXREB67, TXREB	ENSG00000128272	Activating transcription factor 4	22	39519695-39522685	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB011596	Approved		Supported	Microtubule organizing center<br>Cytosol	Renal cancer:9.77e-5 (unfavourable), Liver cancer:4.07e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 530.2	Expressed in all		
ATF5		ENSG00000169136	Activating transcription factor 5	19	49928702-49933935	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA030187	Uncertain		Supported	Nucleoplasm<br>Cytosol	Renal cancer:3.39e-7 (unfavourable), Cervical cancer:1.14e-4 (favourable), Endometrial cancer:1.16e-4 (unfavourable)	Tissue enriched	Group enriched	7	liver: 387.6;thyroid gland: 190.2	appendix: 42.4	Expressed in all		
ATF6	ATF6A	ENSG00000118217	Activating transcription factor 6	1	161766294-161964070	Disease related genes, Plasma proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA005935	Approved		Approved	Cytosol		Expressed in all	Expressed in all			parathyroid gland: 41.3	Expressed in all		
ATF6B	CREBL1, G13	ENSG00000213676	Activating transcription factor 6 beta	6	32098176-32128253	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA046871	Uncertain		Supported	Nucleus<br>Nucleoli		Expressed in all	Expressed in all			parathyroid gland: 56.8	Expressed in all		
ATF7	ATFA	ENSG00000170653	Activating transcription factor 7	12	53507856-53626410	Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA003384	Approved		Approved	Nucleus<br>Cytosol	Stomach cancer:2.10e-4 (unfavourable)	Expressed in all	Expressed in all			endometrium: 40.3	Expressed in all		
ATOH1	bHLHa14, HATH1, MATH-1, Math1	ENSG00000172238	Atonal bHLH transcription factor 1	4	93828753-93830964	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at transcript level						Colorectal cancer:3.26e-5 (favourable)	Tissue enhanced	Group enriched	9	colon: 17.6;duodenum: 11.1;rectum: 19.7;small intestine: 22.4	appendix: 1.9	Not detected		
ATOH7	bHLHa13, Math5	ENSG00000179774	Atonal bHLH transcription factor 7	10	68230624-68232103	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA027008	Uncertain					Not detected	Tissue enriched	7	cerebral cortex: 2.2	endometrium,kidney,small intestine: 0.3	Cell line enriched	14	SCLC-21H: 9.1
ATOH8	bHLHa21, FLJ14708, HATH6	ENSG00000168874	Atonal bHLH transcription factor 8	2	85751344-85788066	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028406			Supported	Nucleoplasm	Pancreatic cancer:8.98e-6 (favourable), Renal cancer:3.80e-5 (favourable)	Tissue enhanced	Tissue enhanced		adipose tissue: 31.6	lung: 17.0	Cell line enhanced		RH-30: 29.0;TIME: 23.5
ATRX	JMS, MRX52, RAD54, XH2, XNP	ENSG00000085224	ATRX, chromatin remodeler	X	77504878-77786269	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001906, CAB009372, HPA064684, CAB068176	Supported		Supported	Nuclear bodies		Expressed in all	Expressed in all			parathyroid gland: 54.4	Expressed in all		
BACH1	BACH-1, BTBD24	ENSG00000156273	BTB domain and CNC homolog 1	21	29194071-29630751	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA034949	Approved		Approved	Nucleus<br>Cytosol	Pancreatic cancer:3.11e-5 (unfavourable), Renal cancer:7.14e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 71.9	Expressed in all		
BACH2	BTBD25	ENSG00000112182	BTB domain and CNC homolog 2	6	89926529-90296908	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051384, HPA058384	Enhanced		Supported	Nucleus<br>Cytosol		Mixed	Tissue enhanced		lymph node: 21.2	tonsil: 12.1	Cell line enhanced		Daudi: 101.9;U-698: 57.4
BARHL1		ENSG00000125492	BarH like homeobox 1	9	132582185-132590266	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA004809	Approved					Not detected	Not detected			all non-specific tissues: 0.0	Cell line enriched	154	SCLC-21H: 19.7
BARHL2		ENSG00000143032	BarH like homeobox 2	1	90711539-90717237	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Not detected	Tissue enriched	37	testis: 3.6	all non-specific tissues: 0.0	Cell line enhanced		HAP1: 1.1;HEK 293: 3.4
BARX1		ENSG00000131668	BARX homeobox 1	9	93951622-93955372	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055858			Approved	Nucleoplasm<br>Vesicles	Endometrial cancer:8.16e-6 (unfavourable), Head and neck cancer:1.02e-4 (unfavourable)	Tissue enhanced	Tissue enriched	7	stomach: 11.1	testis: 1.5	Group enriched	6	AN3-CA: 27.2;HMC-1: 61.1;NTERA-2: 20.7;THP-1: 19.2
BARX2		ENSG00000043039	BARX homeobox 2	11	129375940-129452279	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB033311, HPA068414	Enhanced		Supported	Nucleoplasm<br>Cytosol	Urothelial cancer:3.06e-4 (unfavourable)	Mixed	Tissue enhanced		esophagus: 103.8;salivary gland: 60.3	fallopian tube: 28.0	Cell line enriched	5	HDLM-2: 158.6
BATF	B-ATF, BATF1, SFA-2	ENSG00000156127	Basic leucine zipper ATF-like transcription factor	14	75522425-75547015	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059588, HPA064962	Approved		Enhanced	Nucleoplasm	Renal cancer:3.74e-9 (unfavourable), Endometrial cancer:5.35e-6 (favourable), Head and neck cancer:7.91e-5 (favourable), Urothelial cancer:4.30e-4 (favourable), Colorectal cancer:8.30e-4 (unfavourable)	Expressed in all	Tissue enhanced		lymph node: 31.4	appendix: 26.5	Cell line enhanced		HDLM-2: 321.9;MCF7: 99.6;RT4: 64.2;U-937: 74.7
BATF2	MGC20410	ENSG00000168062	Basic leucine zipper ATF-like transcription factor 2	11	64987943-64997045	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA062496	Approved		Approved	Nucleoli	Ovarian cancer:9.39e-5 (favourable), Pancreatic cancer:2.12e-4 (unfavourable)	Expressed in all	Mixed			spleen: 17.5	Cell line enhanced		BJ hTERT+ SV40 Large T+: 12.0;BJ hTERT+ SV40 Large T+ RasG12V: 19.1
BATF3	JDP1, JUNDM1, SNFT	ENSG00000123685	Basic leucine zipper ATF-like transcription factor 3	1	212686418-212699985	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Mixed	Mixed			spleen: 4.6	Cell line enriched	25	HDLM-2: 359.9
BBX	HBP2, HSPC339, MDS001	ENSG00000114439	BBX, HMG-box containing	3	107522936-107811324	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006049, HPA050646	Enhanced		Enhanced	Nucleoplasm<br>Cytosol		Expressed in all	Expressed in all			testis: 115.7	Expressed in all		
BCL11A	BCL11A-L, BCL11A-S, BCL11A-XL, CTIP1, EVI9, HBFQTL5, ZNF856	ENSG00000119866	B-cell CLL/lymphoma 11A	2	60451167-60553567	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB014891, HPA029003	Enhanced		Enhanced	Nucleoplasm<br>Nuclear bodies		Mixed	Tissue enhanced		skin: 41.0	tonsil: 30.6	Cell line enhanced		Daudi: 24.7;MOLT-4: 28.5;REH: 32.5;U-698: 43.2
BCL11B	CTIP-2, CTIP2, hRIT1-alpha, ZNF856B	ENSG00000127152	B-cell CLL/lymphoma 11B	14	99169287-99271524	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA049117	Enhanced	Supported	Approved	Nucleus<br>Nucleoli fibrillar center	Urothelial cancer:7.48e-4 (favourable)	Mixed	Tissue enhanced		lymph node: 12.2;skin: 18.7	tonsil: 7.4	Cell line enriched	6	MOLT-4: 41.1
BCL3	BCL4, D19S37	ENSG00000069399	B-cell CLL/lymphoma 3	19	44747705-44760044	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB002051, HPA047514	Approved		Supported	Nucleoplasm<br>Vesicles<br>Midbody	Renal cancer:3.13e-14 (unfavourable), Melanoma:3.74e-4 (favourable), Glioma:5.58e-4 (unfavourable), Breast cancer:9.67e-4 (favourable)	Expressed in all	Expressed in all			appendix: 30.1	Cell line enhanced		HDLM-2: 55.4;SiHa: 65.8
BCL6	BCL5, BCL6A, LAZ3, ZBTB27, ZNF51	ENSG00000113916	B-cell CLL/lymphoma 6	3	187721377-187745727	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000307, HPA004899, HPA050645	Enhanced		Enhanced	Nucleoplasm<br>Golgi apparatus	Renal cancer:1.27e-9 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 113.5	Cell line enhanced		Daudi: 112.8;U-698: 150.4
BCL6B	BAZF, ZBTB28, ZNF62	ENSG00000161940	B-cell CLL/lymphoma 6B	17	7023020-7030290	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA059147, HPA075112	Uncertain		Approved	Vesicles	Head and neck cancer:8.56e-5 (favourable), Renal cancer:4.04e-4 (unfavourable)	Expressed in all	Mixed			adipose tissue: 34.6	Group enriched	14	HEL: 16.2;HMC-1: 46.5;HUVEC TERT2: 79.9;TIME: 30.9
BHLHA15	bHLHa15, BHLHB8, MIST1	ENSG00000180535	Basic helix-loop-helix family member a15	7	98211427-98212979	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB034083, HPA047834	Enhanced		Approved	Nucleoplasm<br>Golgi apparatus		Tissue enhanced	Group enriched	7	pancreas: 85.5;salivary gland: 54.0	prostate: 9.3	Group enriched	8	Karpas-707: 27.3;RPMI-8226: 50.7;U-266/70: 63.7
BHLHA9	bHLHa9, BHLHF42	ENSG00000205899	Basic helix-loop-helix family member a9	17	1270559-1271460	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA062632	Uncertain					Tissue enhanced	Not detected			cerebral cortex: 0.8	Not detected		
BHLHE22	Beta3, BHLHB5, bHLHe22, CAGL85, TNRC20	ENSG00000180828	Basic helix-loop-helix family member e22	8	64580367-64583628	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA064128, HPA064872, HPA067500	Enhanced					Mixed	Tissue enhanced		cerebral cortex: 12.2	seminal vesicle: 3.3	Cell line enriched	15	THP-1: 52.6
BHLHE23	bA305P22.3, Beta4, BHLHB4, bHLHe23	ENSG00000125533	Basic helix-loop-helix family member e23	20	63005927-63007035	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA030575	Uncertain					Tissue enriched	Not detected			testis: 0.1	Cell line enriched	22	MOLT-4: 10.3
BHLHE40	BHLHB2, bHLHe40, Clast5, DEC1, SHARP2, STRA13	ENSG00000134107	Basic helix-loop-helix family member e40	3	4979116-4985323	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028922	Uncertain		Supported	Nuclear bodies	Pancreatic cancer:8.74e-4 (unfavourable)	Expressed in all	Expressed in all			esophagus: 230.0	Cell line enhanced		HDLM-2: 406.6;U-87 MG: 191.8
BHLHE41	BHLHB3, bHLHe41, DEC2, SHARP-1, SHARP1	ENSG00000123095	Basic helix-loop-helix family member e41	12	26120026-26125127	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA056035			Approved	Nucleoplasm	Renal cancer:8.73e-5 (unfavourable), Urothelial cancer:1.09e-4 (favourable)	Expressed in all	Tissue enhanced		thyroid gland: 94.5	fallopian tube: 70.9	Cell line enhanced		RT4: 97.9;U-266/70: 39.0;U-87 MG: 42.7
BNC1	BNC, HsT19447	ENSG00000169594	Basonuclin 1	15	83255903-83284714	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA063183, HPA066947, HPA077428			Enhanced	Nucleoplasm		Tissue enhanced	Tissue enhanced		testis: 56.0	esophagus: 11.8	Cell line enhanced		HBEC3-KT: 83.5;hTCEpi: 92.6;hTERT-HME1: 95.2
BNC2	BSN2, FLJ20043	ENSG00000173068	Basonuclin 2	9	16409503-16870843	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA018525, HPA059419	Approved		Supported	Nucleoplasm		Mixed	Tissue enhanced		endometrium: 44.5;ovary: 39.4;smooth muscle: 48.0	fallopian tube: 19.3	Mixed		
BSX	BSX1	ENSG00000188909	Brain specific homeobox	11	122977570-122981720	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA015654	Uncertain					Not detected	Not detected			testis: 0.2	Not detected		
CASZ1	castor, cst, FLJ20321, SRG, ZNF693	ENSG00000130940	Castor zinc finger 1	1	10636604-10796650	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028222, HPA029927	Approved		Supported	Nucleoplasm<br>Cytosol		Mixed	Tissue enhanced		skin: 26.9	prostate: 15.9	Cell line enhanced		HDLM-2: 12.4;SCLC-21H: 23.3;SK-BR-3: 14.1
CDC5L	CDC5, CEF1, hCDC5, PCDC5RP	ENSG00000096401	Cell division cycle 5 like	6	44387525-44450426	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006302, HPA011361, CAB012275	Supported		Supported	Nucleoplasm	Melanoma:7.02e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 36.0	Expressed in all		
CDX1		ENSG00000113722	Caudal type homeobox 1	5	150166795-150184558	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055196	Enhanced					Tissue enhanced	Group enriched	9	colon: 129.9;duodenum: 64.5;rectum: 134.7;small intestine: 104.9	appendix: 12.1	Cell line enhanced		BJ hTERT+: 5.4;SH-SY5Y: 1.3
CDX2	CDX3	ENSG00000165556	Caudal type homeobox 2	13	27962137-27971139	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB002221, HPA045669, HPA049580	Enhanced		Supported	Nucleoplasm		Tissue enriched	Group enriched	6	colon: 30.8;duodenum: 22.3;rectum: 24.9;small intestine: 30.2	appendix: 4.7	Cell line enhanced		CACO-2: 9.4;CAPAN-2: 3.3;HEK 293: 5.6
CDX4		ENSG00000131264	Caudal type homeobox 4	X	73447254-73455245	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA056528	Uncertain					Tissue enriched	Tissue enriched	8	skin: 1.3	seminal vesicle,testis: 0.1	Not detected		
